Tiempo,Temperatura,Resistencia
2290,81.2454,131.3568
2295,80.9699,131.3962
2300,81.2798,131.4224
2305,81.0732,131.16
2310,80.6945,131.2387
2315,80.8667,131.0812
2320,80.5569,131.1731
2325,80.9355,130.8844
2330,80.729,131.0812
2335,80.1438,131.0419
2340,80.2471,130.8582
2345,80.2126,130.9894
2350,80.0061,130.8582
2355,79.7653,130.7794
2360,79.5932,130.6744
2365,79.2147,130.6613
2370,79.4211,130.7138
2375,79.0083,130.5432
2380,78.7331,130.5038
2385,78.7675,130.5563
2390,78.6987,130.4645
2395,79.0083,130.307
2400,78.1139,130.307
2405,78.7675,130.307
2410,78.0451,130.2414
2415,78.5611,130.097
2420,77.9076,130.2414
2425,77.8388,130.0314
2430,77.8732,130.1364
2435,77.9076,130.0052
2440,77.7012,130.1233
2445,77.8044,129.8477
2450,77.2542,129.9921
2455,77.3574,129.9396
2460,77.1511,129.6902
2465,77.048,129.7952
2470,77.4949,129.5328
2475,76.7385,129.5721
2480,76.6698,129.5459
2485,76.4292,129.6246
2490,76.3261,129.5065
2495,76.2917,129.3622
2500,75.9136,129.5065
2505,75.8793,129.4409
2510,76.223,129.3884
2515,75.8793,129.3359
2520,75.5356,129.2572
2525,75.6387,129.0866
2530,75.7418,129.1785
2535,75.1233,129.0604
2540,75.2607,129.1785
2545,74.8141,129.021
2550,75.2951,129.0341
2555,75.1233,128.9685
2560,75.0202,129.1916
2565,74.6424,128.7585
2570,74.4706,128.7979
2575,74.5393,128.6798
2580,74.2302,128.5617
2585,73.818,128.8635
2590,74.5737,128.6142
2595,74.0241,128.811
2600,74.1958,128.7717
2605,73.9554,128.5486
2610,73.9554,128.5486
2615,73.5777,128.4698
2620,73.7837,128.3386
2625,73.2686,128.3649
2630,73.0283,128.4174
2635,72.891,128.3124
2640,72.994,128.3911
2645,72.376,128.1024
2650,72.7193,128.2468
2655,72.8223,128.2074
2660,72.6507,128.1024
2665,72.4104,128.0762
2670,72.1358,128.0499
2675,72.2731,127.9187
2680,72.1358,127.9056
2685,71.6896,127.84
2690,72.4447,127.8662
2695,72.1701,127.7481
2700,71.6553,127.7612
2705,71.6553,127.4463
2710,71.5867,127.5644
2715,71.3465,127.6562
2720,71.3808,127.7219
2725,71.4494,127.63
2730,71.2092,127.3413
2735,70.7632,127.2888
2740,70.7975,127.3807
2745,70.7632,127.2495
2750,71.072,127.3413
2755,70.3173,127.0789
2760,70.1801,127.197
2765,70.6946,127.1707
2770,70.3859,127.197
2775,70.1458,127.197
2780,70.5574,127.1445
2785,70.3173,127.0001
2790,69.9743,126.9739
2795,70.1458,126.987
2800,69.6656,126.8951
2805,69.6656,126.987
2810,69.6656,126.9083
2815,69.3913,126.9608
2820,69.5284,126.8689
2825,69.3913,126.7902
2830,69.0484,126.8033
2835,69.2884,126.7114
2840,69.1512,126.6458
2845,68.877,126.6196
2850,68.5684,126.6721
2855,68.7741,126.5408
2860,68.5341,126.4621
2865,68.4313,126.5015
2870,68.2599,126.7508
2875,68.0542,126.3046
2880,67.9857,126.4227
2885,68.0885,126.2784
2890,67.9171,126.4752
2895,67.8143,126.3702
2900,67.266,126.1603
2905,67.8143,126.1209
2910,67.7115,126.2653
2915,67.5402,126.134
2920,67.1975,125.9241
2925,67.5402,126.2128
2930,67.129,126.0159
2935,67.0947,125.8585
2940,67.3345,125.9503
2945,66.9919,125.7404
2950,66.8206,126.0684
2955,66.6493,125.9372
2960,66.9576,125.8585
2965,66.1012,125.5566
2970,66.9234,125.7535
2975,66.615,125.6747
2980,65.9642,125.6747
2985,65.8272,125.6616
2990,65.8614,125.6223
2995,66.0669,125.5173
3000,66.0327,125.5435
3005,66.0327,125.3336
3010,65.7244,125.5042
3015,65.7929,125.5435
3020,65.5874,125.4123
3025,65.7244,125.2155
3030,65.5874,125.3467
3035,65.108,125.3598
3040,65.0053,125.3073
